,January,February,March,April,May,June,July,Augest,September
1,357,544,638,573,440,748,576,381,694
2,264,333,724,410,432,663,459,429,517
3,313,579,620,429,645,588,429,457,449
4,439,498,549,502,747,469,403,566,424
5,516,461,445,686,738,423,596,488,340
6,544,419,432,713,581,480,655,449,526
7,367,381,459,665,357,717,653,436,767
8,393,631,645,597,377,690,561,400,637
9,312,716,615,475,490,617,409,592,517
10,382,628,712,430,623,527,423,682,398
11,549,588,554,572,709,450,401,582,357
12,588,476,402,626,662,413,646,565,422
13,592,346,307,669,575,553,649,409,599
14,528,425,501,645,461,623,658,404,761
15,369,623,601,505,366,651,502,443,611
16,301,628,709,434,520,662,415,598,538
17,368,692,610,245,631,506,406,612,392
18,596,569,505,364,631,449,448,598,392
19,631,424,406,585,619,325,618,519,383
20,614,381,402,651,488,419,585,423,592
21,516,395,502,684,453,605,518,352,638
22,355,506,671,537,380,632,463,448,549
23,343,668,606,411,539,608,469,585,486
24,337,533,588,377,605,505,424,632,411
25,603,415,588,498,663,428,401,632,392
26,474,387,454,632,612,389,623,526,422
27,478,373,389,672,467,436,607,459,663
28,257,451,392,602,429,534,596,380,616
29,223,,589,479,396,671,443,463,771
30,243,,655,411,365,622,428,646,540
31,338,,670,,551,,328,578,